id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000162692	ENSG00000162692	502.78754187367	-3.47221011230658	0.186272605572124	-18.6404764224021	1.50890958867562e-77	1.52666146618945e-74
ENSG00000214814	ENSG00000214814	231.266496621332	-3.04343021274028	0.2042249295361	-14.9023442909417	3.1821554854709e-50	1.21629054111332e-47
ENSG00000146006	ENSG00000146006	55.4112719065983	-2.95222889392335	0.336150966431235	-8.78244952042188	1.59952364709109e-18	8.99078651306102e-17
ENSG00000105989	ENSG00000105989	330.640139924587	-2.86420777939217	0.178333013196093	-16.0610070343101	4.78715549353108e-58	2.42173748496278e-55
ENSG00000013293	ENSG00000013293	261.090782464686	-2.73326648929801	0.207708460891387	-13.1591485371762	1.50775400803839e-39	2.94697374298412e-37
ENSG00000146250	ENSG00000146250	315.445525039804	-2.65113949230981	0.145542570929473	-18.2155604053092	3.88420164760912e-74	3.71157046327094e-71
ENSG00000131771	ENSG00000131771	92.271997012895	-2.63629756411169	0.277020004658647	-9.51663244450603	1.78881923198709e-21	1.30371571144822e-19
ENSG00000145777	ENSG00000145777	150.459299156055	-2.61124548587877	0.205826382209049	-12.6866413229119	7.01291942811205e-37	1.23083892003599e-34
ENSG00000165272	ENSG00000165272	137.860234076942	-2.58882089799458	0.254688895025264	-10.1646398746117	2.85173908887321e-24	2.62298996409728e-22
ENSG00000267339	ENSG00000267339	23.0875964894737	-2.54047459694217	0.359732773327763	-7.06211606310185	1.63985923535084e-12	4.87985793218589e-11
ENSG00000188176	ENSG00000188176	52.4331956684812	-2.50363088238773	0.293573095048572	-8.52813464385589	1.4872637785939e-17	7.50174105331821e-16
ENSG00000126878	ENSG00000126878	91.3401721076096	-2.48061447854539	0.222454717747877	-11.151098541128	7.07277278213889e-29	8.94497734211683e-27
ENSG00000178695	ENSG00000178695	2674.93415033333	-2.45909078531154	0.130405452789583	-18.8572696364118	2.56108437747017e-79	2.75316570578043e-76
ENSG00000136999	ENSG00000136999	439.505295935487	-2.4503976412165	0.167356999260123	-14.6417398259385	1.5212506399632e-48	5.03182903987829e-46
ENSG00000138316	ENSG00000138316	709.398384825951	-2.41736490773103	0.169656302441997	-14.2486006881913	4.57353808760858e-46	1.28958778863717e-43
ENSG00000154864	ENSG00000154864	141.951924184285	-2.39069542029101	0.211036489986277	-11.3283509427515	9.49760186343411e-30	1.2190951645602e-27
ENSG00000163491	ENSG00000163491	137.628115443873	-2.35955226113907	0.222095516022678	-10.6240427694999	2.30363312876149e-26	2.49198049149041e-24
ENSG00000124766	ENSG00000124766	1319.42200299561	-2.33127815256867	0.134931445762826	-17.2775007292699	6.94947896424559e-67	5.69195419928686e-64
ENSG00000128342	ENSG00000128342	157.022266716647	-2.32000933352656	0.224525283567808	-10.3329535839375	4.99969437128839e-25	4.99969437128839e-23
ENSG00000164742	ENSG00000164742	350.681573753102	-2.3163322381895	0.218660403407137	-10.5932862196206	3.20151212974261e-26	3.42024898332751e-24
